PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ALLSTAR
Lou Williams,2021,ATL,35,40,23,17,14.7,6.8,2.4,6.1,39.7,0.8,2.1,35.7,1.3,1.4,89.3,0.3,1.3,1.6,2,0.8,0.5,0.1,0.9,12.6,0,0,0.3,0
Zeke Nnaji,2021,DEN,21,39,23,16,16.7,6.8,2.4,4.5,54,0.9,1.9,48.7,1,1.6,61.3,1.4,2.3,3.7,0.4,0.5,0.3,0.3,1.9,13.2,0,0,-1,0
Corey Kispert,2021,WAS,23,53,23,30,19.8,6.8,2.5,5.8,43,1.1,3.4,32.2,0.7,0.8,88.4,0.7,1.8,2.5,0.9,0.6,0.4,0.2,1,12.5,0,0,1.4,0
Jalen Smith,2021,IND,22,33,24,9,14.1,6.8,2.5,5.1,48.5,0.5,1.6,28.8,1.3,1.8,75.9,1.8,3.1,5,0.3,0.8,0.3,0.6,1.9,15.1,4,0,1,0
Blake Griffin,2021,BKN,33,48,25,23,18.2,6.7,2.5,6,42,0.6,2.7,24,1.1,1.5,72.9,1.2,3.2,4.4,2,0.5,0.5,0.3,1.8,16.9,1,0,-1.5,0
Mason Plumlee,2021,CHA,32,51,26,25,25.5,6.7,2.9,4.6,63.1,0,0,0,0.9,2.3,37.9,2.6,5.4,8,3.1,1.4,0.9,0.6,3.1,24.1,5,0,-1,0
Brandon Boston Jr.,2021,LAC,20,41,21,20,15.1,6.7,2.4,6.4,37.1,0.7,2.3,29.8,1.2,1.4,84.7,0.3,2,2.3,0.9,0.6,0.5,0.3,0.9,12.5,0,0,-1.3,0
Dewayne Dedmon,2021,MIA,32,50,32,18,16.4,6.6,2.6,4.5,58,0.3,0.6,51.6,1.1,1.4,77.8,1.8,4.3,6.1,0.7,1.1,0.4,0.5,2.4,16.9,3,0,1.8,0
Avery Bradley,2021,LAL,31,49,24,25,23.8,6.6,2.5,6.1,41.1,1.4,3.6,38.1,0.2,0.3,85.7,0.6,1.8,2.3,0.8,0.7,0.9,0.2,1.9,13.3,0,0,-2.5,0
Serge Ibaka,2021,MIL,32,38,18,20,16.2,6.6,2.7,5.5,48.8,0.7,1.8,37.7,0.6,0.8,68.8,1.1,3.3,4.4,1,0.9,0.2,0.7,1.7,15.3,2,0,-1.3,0
Patrick Williams,2021,CHI,20,5,4,1,24.9,6.6,2.6,4.6,56.5,0.6,1.2,50,0.8,0.8,100,0.2,2,2.2,0.6,0.4,0.6,0.4,1.8,12.7,0,0,2.4,0
Jalen McDaniels,2021,CHA,24,39,23,16,17.6,6.6,2.5,5.1,49.2,0.8,2.2,37.2,0.8,1.2,67.4,0.7,2.7,3.5,1.1,0.8,0.5,0.4,1.8,14.4,1,0,1.1,0
Torrey Craig,2021,PHX,31,54,20,34,20.2,6.5,2.6,5.5,46.3,0.9,2.7,33.6,0.5,0.7,75,1.1,2.7,3.9,1.1,0.8,0.5,0.4,1.9,14.7,2,0,-3.4,0
BJ Johnson,2021,ORL,26,4,2,2,16.1,6.5,2.8,6.3,44,1,2.5,40,0,0,0,1.5,2.3,3.8,0,0,0,0.3,1,11.8,0,0,-3,0
Keifer Sykes,2021,IND,28,20,3,17,19.3,6.5,2.5,6.8,36,1,3.3,30.8,0.6,0.7,85.7,0.4,1.5,1.8,2.2,1.3,0.4,0.2,1.9,12.3,0,0,-2.6,0
Quentin Grimes,2021,NYK,22,39,17,22,17.9,6.5,2.3,5.4,42.1,1.7,4.3,39.8,0.3,0.4,64.7,0.6,1.4,2,1,0.6,0.7,0.3,1.5,12.4,0,0,-1.4,0
Bruce Brown,2021,BKN,25,50,24,26,21.3,6.5,2.7,5.5,48.6,0.3,0.8,31.7,0.8,1.1,73.7,1.2,3.1,4.3,1.3,0.6,1,0.5,2.3,17.6,0,0,-2.5,0
Stanley Johnson,2021,LAL,26,24,10,14,22,6.5,2.5,5.1,48,0.7,2.1,31.4,0.9,1.3,67.7,0.7,2.5,3.2,1.4,0.5,0.7,0.4,2.8,15.2,0,0,-0.5,0
Kessler Edwards,2021,BKN,21,28,10,18,24.6,6.4,2.5,6.4,39.4,1.1,3.3,33,0.3,0.4,80,1,3.2,4.3,0.6,1,0.8,0.6,2,15.6,1,0,-2.6,0
Danny Green,2021,PHI,35,40,22,18,23,6.4,2.2,5.6,39.9,1.8,4.7,37.6,0.2,0.3,90,0.5,1.9,2.4,1,0.9,1,0.7,1.7,15.2,0,0,2.5,0
Derrick Walton Jr.,2021,DET,27,3,1,2,36.1,6.3,2,8.7,23.1,1,4.3,23.1,1.3,1.3,100,0.7,2.7,3.3,7,3.7,2.3,1.3,2.7,28.2,0,0,-1,0
Kelan Martin,2021,BOS,26,27,12,15,16.4,6.3,2.6,6.2,41.7,0.8,2.7,29.7,0.3,0.5,69.2,0.6,1.4,2,0.8,0.5,0.5,0.3,1.3,11.8,0,0,-1.7,0
